Number of Elements,Bubble Sort,,,,,,Selection Sort,,,,,,Insertion Sort,,,,,,Merge Sort,,,,,
,Test 1,Test 2,Test 3,Test 4,Test 5,Average,Test 1,Test 2,Test 3,Test 4,Test 5,Average,Test 1,Test 2,Test 3,Test 4,Test 5,Average,Test 1,Test 2,Test 3,Test 4,Test 5,Average
1000,3311143,2908284,3307268,3296382,3359838,3236583,1536453,1299413,1389746,1372017,1213296,1362185,1147415,1124432,1143722,1121617,1157459,1138929,197544,180567,189927,233733,183921,197138.4
5000,76278172,73742750,97120695,62290662,63181071,74522670,32252537,32370721,34139653,36548187,32002502,33462720,36385239,36056742,42165056,39613710,34485798,37741309,1262843,1285635,1008141,1348957,1057144,1192544
10000,265206377,233218167,256776984,287853094,244327343,257476393,138139149,149640611,137683806,149065375,138684804,142642749,136162231,115920305,131721332,120676825,147992227,130494584,2638939,2751876,1683446,3016411,2192890,2456712.4
50000,7789877185,7700392948,7735392247,7891604256,7767691020,7776991531,3326017250,3351560312,3024193563,3198436224,3379611834,3255963837,3016246650,2909133665,2830994957,2989634537,2997461607,2948694283,9881253,13835908,15986722,18458495,15500029,14732481.4
1000000,29715220112,28553622422,23122285590,28520200923,22695864442,26521438698,11990246944,12611386215,11994411958,12047240696,11945400554,12117737273,12200267710,11559842595,11520825945,11549791180,12014575741,11769060634,35841346,26332721,29373004,19358333,30682013,28317483.4
