Number of Elements,Bubble Sort,,,,,,Selection Sort,,,,,,Insertion Sort,,,,,,Merge Sort,,,,,
,Test 1,Test 2,Test 3,Test 4,Test 5,Average,Test 1,Test 2,Test 3,Test 4,Test 5,Average,Test 1,Test 2,Test 3,Test 4,Test 5,Average,Test 1,Test 2,Test 3,Test 4,Test 5,Average
1000,3990000,1991000,2991000,3021000,3047000,3008000,1943000,949000,997000,2021000,997000,1381400,996000,1007000,1047000,1054000,996000,1020000,0,0,0,0,0,0
5000,62547000,61860000,65066000,60845000,60798000,62223200,31219000,31292000,32896000,27739000,38868000,32402800,16953000,17008000,18937000,16994000,15956000,17169600,978000,997000,994000,996000,1000000,993000
10000,270013000,270430000,263118000,278070000,262110000,268748200,134578000,129615000,129615000,125463000,132541000,130362400,55486000,78732000,70764000,67772000,66776000,67906000,1994000,1959000,1994000,1992000,2035000,1994800
50000,8535165000,8454925000,8685868000,8725084000,8574871000,8595182600,3235974000,3278687000,3235623000,3232950000,3221379000,3240922600,1711458000,1696066000,1691434000,1613734000,1683184000,1679175200,9998000,10014000,10021000,8974000,11011000,10003600
100000,34573577000,34139981000,34850717000,35510558000,34814976000,34777961800,12761207000,12675424000,12493452000,12404276000,12358228000,12538517400,6708925000,6616557000,6787718000,6831033000,6884886000,6765823800,23018000,21927000,19933000,20984000,21920000,21556400
