Number of Elements,Bubble Sort,,,,,,Selection Sort,,,,,,Insertion Sort,,,,,,Merge Sort,,,,,
,Test 1,Test 2,Test 3,Test 4,Test 5,Average,Test 1,Test 2,Test 3,Test 4,Test 5,Average,Test 1,Test 2,Test 3,Test 4,Test 5,Average,Test 1,Test 2,Test 3,Test 4,Test 5,Average
1000,3988000,3985000,3988000,3987000,3988000,3987200,1993000,1003000,1992000,1995000,996000,1595800,1996000,2006000,1994000,1035000,1944000,1795000,0,0,0,0,0,0
5000,116840000,123420000,109573000,117727000,125313000,118574600,44870000,42875000,39386000,41802000,40907000,41968000,40864000,32935000,34892000,34939000,36933000,36112600,996000,997000,997000,1047000,996000,1006600
10000,461965000,445010000,460595000,446207000,450996000,452954600,168451000,159753000,153942000,163885000,168441000,162894400,129570000,141494000,136057000,131585000,155443000,138829800,2990000,3985000,2989000,2989000,1994000,2989400
50000,11260859000,11276349000,11328340000,11371751000,11243148000,11296089400,4046203000,4119543000,4087613000,4168563000,4082191000,4100822600,3456513000,3417589000,3525832000,3517802000,3476832000,3478913600,11004000,10977000,10970000,11960000,10964000,11175000
1000000,45385790000,45380012000,45453524000,45358387000,46887274000,45692997400,16230569000,16355952000,16345643000,16576841000,16445953000,16390991600,13944895000,14151250000,14071548000,13979922000,13769186000,13983360200,12922000,13907000,16948000,16960000,19925000,16132400
